customer_id,customer_name,email,registration_date,customer_type
1,Aryan Maharaj,aryan.maharaj1@example.com,2024-04-26 22:17:55,REGULAR
2,Harsh Chahal,harsh.chahal2@example.com,2025-04-30 02:20:23,REGULAR
3,Ayushman Chander,ayushman.chander3@example.com,2024-03-29 23:03:37,PREMIUM
4,Rushil Saini,rushil.saini4@example.com,2024-03-31 21:08:57,REGULAR
5,Abeer Dutta,abeer.dutta5@example.com,2025-08-22 18:34:09,REGULAR
6,Arunima Dugal,arunima.dugal6@example.com,2024-03-26 10:04:11,REGULAR
7,Harsh Chanda,harsh.chanda7@example.com,2024-09-17 18:46:37,REGULAR
8,Hemangini Lalla,hemangini.lalla8@example.com,2025-12-16 21:06:34,REGULAR
9,Jeet Radhakrishnan,jeet.radhakrishnan9@example.com,2023-11-01 23:48:00,REGULAR
10,Janaki Handa,janaki.handa10@example.com,2025-08-29 15:01:43,REGULAR
11,Vedant Mann,vedant.mann11@example.com,2026-06-24 14:27:19,PREMIUM
12,Harrison Rai,harrison.rai12@example.com,2024-06-01 04:06:23,REGULAR
13,Nicholas Prabhakar,nicholas.prabhakar13@example.com,2024-08-22 12:22:36,REGULAR
14,Ekbal Garg,ekbal.garg14@example.com,2025-03-01 01:33:38,REGULAR
15,Nihal Shere,nihal.shere15@example.com,2024-09-17 06:42:46,REGULAR
16,Ekta Bhalla,ekta.bhalla16@example.com,2024-04-10 01:13:03,PREMIUM
17,Diya Rattan,diya.rattan17@example.com,2024-05-21 06:29:03,VIP
18,Divya Kala,divya.kala18@example.com,2025-07-08 06:49:52,REGULAR
19,Tara Dhar,tara.dhar19@example.com,2024-05-18 05:20:38,REGULAR
20,Adya Sangha,adya.sangha20@example.com,2026-03-23 11:55:01,REGULAR
21,Janaki Kanda,janaki.kanda21@example.com,2026-07-07 11:55:38,REGULAR
22,Yashodhara Tak,yashodhara.tak22@example.com,2023-11-14 21:23:55,REGULAR
23,Imaran Dua,imaran.dua23@example.com,2025-06-08 11:08:17,REGULAR
24,Devansh Rajan,devansh.rajan24@example.com,2024-09-19 14:02:10,REGULAR
25,Zayan Apte,zayan.apte25@example.com,2025-08-03 18:02:30,REGULAR
26,Amara Oak,amara.oak26@example.com,2023-12-06 21:10:35,REGULAR
27,Nakul Setty,nakul.setty27@example.com,2023-08-13 12:04:24,VIP
28,Xiti Gokhale,xiti.gokhale28@example.com,2025-01-31 21:05:55,REGULAR
29,Chanchal Tripathi,chanchal.tripathi29@example.com,2025-05-19 18:45:46,PREMIUM
30,Kashvi Edwin,kashvi.edwin30@example.com,2025-03-06 15:30:40,REGULAR
31,Ekiya Suresh,ekiya.suresh31@example.com,2023-08-30 19:03:55,REGULAR
32,Damyanti Khatri,damyanti.khatri32@example.com,2023-10-10 18:05:02,PREMIUM
33,Frederick Sunder,frederick.sunder33@example.com,2025-12-26 08:31:46,PREMIUM
34,Kabir Soman,kabir.soman34@example.com,2026-05-14 17:22:09,REGULAR
35,Alka Wable,alka.wable35@example.com,2026-02-24 10:46:11,REGULAR
36,Siddharth Zacharia,siddharth.zacharia36@example.com,2025-10-22 15:06:57,VIP
37,Devika Rastogi,devika.rastogi37@example.com,2026-07-05 04:16:56,REGULAR
38,Raksha Varughese,raksha.varughese38@example.com,2024-12-03 00:20:10,REGULAR
39,Umang Bhatt,umang.bhatt39@example.com,2024-08-04 05:00:03,REGULAR
40,Thomas Amble,thomas.amble40@example.com,2023-10-24 16:11:38,REGULAR
41,Veer Bir,veer.bir41@example.com,2026-03-31 14:09:15,REGULAR
42,Ekavir Varkey,ekavir.varkey42@example.com,2024-04-19 14:12:42,PREMIUM
43,Tanish Zacharia,tanish.zacharia43@example.com,2023-12-28 23:56:35,REGULAR
44,Xavier Solanki,xavier.solanki44@example.com,2025-12-17 06:32:13,REGULAR
45,Girindra Chatterjee,girindra.chatterjee45@example.com,2025-07-12 01:26:36,REGULAR
46,Pallavi Roy,pallavi.roy46@example.com,2024-12-19 13:36:46,REGULAR
47,Guneet Bhat,guneet.bhat47@example.com,2024-10-11 22:59:54,REGULAR
48,Ikbal Kothari,ikbal.kothari48@example.com,2024-03-01 03:31:17,REGULAR
49,Logan Sami,logan.sami49@example.com,2024-02-21 12:22:30,REGULAR
50,Zaid Borra,zaid.borra50@example.com,2024-11-24 02:42:43,PREMIUM
51,Chandresh Zachariah,chandresh.zachariah51example.com,2026-01-16 15:59:03,PREMIUM
52,Warjas Ganesan,warjas.ganesan52@example.com,2024-10-15 23:58:09,REGULAR
53,Tanay Rattan,tanay.rattan53@example.com,2026-03-28 10:02:13,REGULAR
54,Ladli Agate,ladli.agate54@example.com,2026-06-24 16:41:16,REGULAR
55,Suhani Mangal,suhani.mangal55@example.com,2024-11-02 16:13:00,PREMIUM
56,Mohammed Gupta,mohammed.gupta56@example.com,2024-06-21 03:05:16,REGULAR
57,Darsh Murthy,darsh.murthy57@example.com,2023-10-09 22:39:20,VIP
58,Yadavi Wali,yadavi.wali58@example.com,2024-01-24 18:12:49,REGULAR
59,Quincy Biswas,quincy.biswas59@example.com,2025-05-04 22:28:52,REGULAR
60,Netra Dar,netra.dar60@example.com,2026-05-09 03:04:34,PREMIUM
61,Balveer Bumb,balveer.bumb61@example.com,2024-10-29 15:30:25,PREMIUM
62,Advika Jayaraman,advika.jayaraman62@example.com,2025-07-23 12:07:03,REGULAR
63,William Lanka,william.lanka63@example.com,2024-10-04 16:14:08,REGULAR
64,Tanvi Mutti,tanvi.mutti64@example.com,2026-04-25 17:29:49,PREMIUM
65,Aditya Shanker,aditya.shanker65@example.com,2025-06-01 18:24:09,REGULAR
66,Ethan Yogi,ethan.yogi66@example.com,2024-03-24 02:51:31,PREMIUM
67,Kevin Palla,kevin.palla67@example.com,2026-03-05 10:19:48,REGULAR
68,Kala Mane,kala.mane68@example.com,2024-01-25 02:14:40,REGULAR
69,Abhiram Mistry,abhiram.mistry69@example.com,2026-04-28 15:29:33,PREMIUM
70,Krish Lalla,krish.lalla70@example.com,2023-12-11 00:17:15,REGULAR
71,Nachiket Magar,nachiket.magar71@example.com,2024-06-05 04:49:07,REGULAR
72,Hemal Jani,hemal.jani72@example.com,2025-08-11 10:28:34,REGULAR
73,Yashasvi Suresh,yashasvi.suresh73@example.com,2024-05-03 13:34:01,REGULAR
74,George Sampath,george.sampath74@example.com,2026-01-09 13:12:29,REGULAR
75,Aarush Nath,aarush.nath75@example.com,2025-11-08 12:27:32,VIP
76,Neel Sathe,neel.sathe76@example.com,2025-03-19 18:01:24,REGULAR
77,Aditya Choudhury,aditya.choudhury77@example.com,2023-10-29 04:52:28,REGULAR
78,Balendra Pingle,balendra.pingle78@example.com,2025-04-21 14:14:17,REGULAR
79,Qushi Datta,qushi.datta79@example.com,2023-09-23 14:32:47,REGULAR
80,Balveer Parmar,balveer.parmar80@example.com,2024-03-20 20:10:06,REGULAR
81,Harshil Pandya,harshil.pandya81@example.com,2025-11-18 02:29:15,REGULAR
82,Mohammed Khalsa,mohammed.khalsa82@example.com,2026-02-16 02:38:47,PREMIUM
83,Nitara Bakshi,nitara.bakshi83@example.com,2024-02-17 02:50:58,REGULAR
84,Nisha Kothari,nisha.kothari84@example.com,2024-05-20 06:34:28,REGULAR
85,Lavanya Barad,lavanya.barad85@example.com,2026-02-09 16:55:30,VIP
86,Ryan Sharma,ryan.sharma86@example.com,2024-08-16 12:53:11,REGULAR
87,Udant Bajwa,udant.bajwa87@example.com,2025-07-13 04:18:00,PREMIUM
88,Falguni Mallick,falguni.mallick88@example.com,2026-02-15 20:11:03,REGULAR
89,Indali Upadhyay,indali.upadhyay89@example.com,2024-10-08 19:45:24,REGULAR
90,Ayaan D’Alia,ayaan.d’alia90@example.com,2026-03-01 08:30:58,PREMIUM
91,Pranav Lanka,pranav.lanka91@example.com,2023-09-19 19:13:44,VIP
92,Hemani Murthy,hemani.murthy92@example.com,2024-11-16 22:28:09,REGULAR
93,Lekha Gupta,lekha.gupta93@example.com,2024-05-07 09:38:27,PREMIUM
94,Aarav Venkatesh,aarav.venkatesh94@example.com,2026-04-22 01:27:54,REGULAR
95,Januja Sankar,januja.sankar95@example.com,2023-10-23 14:08:02,REGULAR
96,Dipta Dash,dipta.dash96@example.com,2025-09-14 19:12:03,REGULAR
97,Yashica More,yashica.more97@example.com,2025-07-20 11:41:02,REGULAR
98,Neha Merchant,neha.merchant98@example.com,2025-03-22 15:52:27,REGULAR
99,Osha Raghavan,osha.raghavan99@example.com,2025-07-31 14:13:23,VIP
100,Charvi Ravi,charvi.ravi100@example.com,2025-03-15 18:19:12,VIP
101,Daksha Mangat,daksha.mangat101@example.com,2024-03-20 22:52:56,PREMIUM
102,Udyati Sathe,udyati.sathe102@example.com,2024-11-23 01:53:15,REGULAR
103,Yasti Solanki,yasti.solanki103@example.com,2025-12-02 14:41:29,REGULAR
104,Frado Mander,frado.mander104@example.com,2025-02-09 03:45:51,REGULAR
105,Girik Keer,girik.keer105@example.com,2025-07-26 18:36:04,REGULAR
106,Rushil Din,rushil.din106@example.com,2023-09-05 01:35:18,REGULAR
107,Vaishnavi Bora,vaishnavi.bora107@example.com,2024-12-07 04:48:57,VIP
108,Leena Talwar,leena.talwar108@example.com,2024-10-08 19:06:15,REGULAR
109,Abdul Chhabra,abdul.chhabra109@example.com,2025-11-16 07:07:47,REGULAR
110,Patrick Vasa,patrick.vasa110@example.com,2024-12-16 22:20:22,VIP
111,Jairaj Shan,jairaj.shan111@example.com,2023-12-30 02:12:26,REGULAR
112,Edhitha Savant,edhitha.savant112@example.com,2025-05-23 16:54:15,REGULAR
113,Sanaya Dutt,sanaya.dutt113@example.com,2025-10-10 06:17:13,REGULAR
114,Shivani Lad,shivani.lad114@example.com,2025-10-18 21:55:37,REGULAR
115,Vedhika Khare,vedhika.khare115@example.com,2024-05-28 13:47:15,REGULAR
116,Bhavika Keer,bhavika.keer116@example.com,2024-05-25 12:05:39,REGULAR
117,Faris Devi,faris.devi117@example.com,2024-01-17 17:25:02,REGULAR
118,Michael Kala,michael.kala118@example.com,2023-10-17 11:15:05,PREMIUM
119,Ganga Shukla,ganga.shukla119@example.com,2024-10-25 23:16:57,REGULAR
120,Osha Ramachandran,osha.ramachandran120@example.com,2026-03-30 23:17:09,REGULAR
121,Lajita Sood,lajita.sood121@example.com,2023-08-16 07:50:45,REGULAR
122,Chanchal Ramakrishnan,chanchal.ramakrishnan122@example.com,2026-02-04 05:22:26,REGULAR
123,Thomas Sura,thomas.sura123@example.com,2024-03-30 19:05:47,REGULAR
124,Vedika Balakrishnan,vedika.balakrishnan124@example.com,2024-09-27 07:05:22,PREMIUM
125,Noah Sibal,noah.sibal125@example.com,2026-04-15 15:12:15,REGULAR
126,Meera Bala,meera.bala126@example.com,2023-11-07 11:24:04,REGULAR
127,Krishna Shenoy,krishna.shenoy127@example.com,2024-02-19 15:24:07,VIP
128,Ladli Narang,ladli.narang128@example.com,2024-03-22 12:39:37,REGULAR
129,Geetika Raghavan,geetika.raghavan129@example.com,2024-06-01 11:20:32,REGULAR
130,Zayyan Bumb,zayyan.bumb130@example.com,2024-12-23 01:31:43,PREMIUM
131,Inaya Kapur,inaya.kapur131@example.com,2025-07-02 15:27:49,REGULAR
132,Azaan Kota,azaan.kota132@example.com,2024-03-09 10:11:38,PREMIUM
